,open,high,low,close,volume,datetime
2995,57499.99,57776.32,57325.38,57585.5,853.91,2024-09-11 19:00:00
2996,57585.5,57676.83,57438.0,57486.0,457.01,2024-09-11 20:00:00
2997,57486.01,57558.0,57252.0,57352.0,369.42,2024-09-11 21:00:00
2998,57352.0,57468.0,57211.1,57467.99,413.39,2024-09-11 22:00:00
2999,57468.0,57508.0,57310.97,57338.0,357.66,2024-09-11 23:00:00
3000,57338.0,57907.9,57324.0,57626.01,1283.2,2024-09-12 00:00:00
3001,57626.01,58275.0,57597.8,58137.74,1210.69,2024-09-12 01:00:00
3002,58137.74,58470.01,57827.61,57946.28,1728.57,2024-09-12 02:00:00
3003,57946.29,58335.53,57946.28,58232.72,702.64,2024-09-12 03:00:00
3004,58232.73,58430.56,58160.0,58181.98,777.7,2024-09-12 04:00:00
3005,58181.99,58181.99,57909.92,57968.01,1279.38,2024-09-12 05:00:00
3006,57968.01,58100.11,57836.28,57947.99,1070.23,2024-09-12 06:00:00
3007,57948.0,58148.0,57876.0,58138.16,677.88,2024-09-12 07:00:00
3008,58138.15,58350.0,58100.0,58171.06,1100.65,2024-09-12 08:00:00
3009,58171.06,58250.0,57980.0,58022.0,578.59,2024-09-12 09:00:00
3010,58022.0,58098.0,57929.07,57930.41,804.75,2024-09-12 10:00:00
3011,57930.41,58146.17,57894.0,58057.99,919.42,2024-09-12 11:00:00
3012,58058.0,58162.11,57583.29,57691.56,1845.09,2024-09-12 12:00:00
3013,57691.55,57875.99,57345.23,57627.99,2310.28,2024-09-12 13:00:00
3014,57628.0,58588.0,57541.29,57541.29,3152.1,2024-09-12 14:00:00
3015,57541.3,57878.77,57408.41,57512.03,1840.15,2024-09-12 15:00:00
3016,57512.03,58125.0,57494.01,58065.99,894.01,2024-09-12 16:00:00
3017,58065.99,58410.0,58007.56,58389.1,1014.58,2024-09-12 17:00:00
3018,58389.11,58450.99,57949.18,58181.99,1519.67,2024-09-12 18:00:00
3019,58181.99,58442.86,58129.13,58388.0,2503.13,2024-09-12 19:00:00
3020,58388.0,58388.0,58085.09,58199.99,1796.88,2024-09-12 20:00:00
3021,58199.99,58385.81,57781.1,57921.11,1313.07,2024-09-12 21:00:00
3022,57921.1,58260.0,57904.18,58143.34,416.63,2024-09-12 22:00:00
3023,58143.33,58190.38,58031.0,58132.32,335.13,2024-09-12 23:00:00
3024,58132.31,58244.0,57999.9,58031.14,460.24,2024-09-13 00:00:00
3025,58031.14,58290.4,57876.9,58129.99,802.88,2024-09-13 01:00:00
3026,58129.98,58170.0,57974.0,58050.8,414.95,2024-09-13 02:00:00
3027,58050.8,58070.0,57798.49,57845.97,671.11,2024-09-13 03:00:00
3028,57845.97,57985.99,57804.01,57844.0,324.13,2024-09-13 04:00:00
3029,57844.0,58024.89,57833.97,57946.0,539.69,2024-09-13 05:00:00
3030,57946.01,57952.0,57742.0,57767.01,553.36,2024-09-13 06:00:00
3031,57767.0,58137.68,57767.0,58109.31,626.44,2024-09-13 07:00:00
3032,58109.31,58150.0,57898.56,57953.64,551.15,2024-09-13 08:00:00
